distance_km,duration_hours,people,days,transport_type,hotel_category,season,total_cost
738.3,15.9,5,3,road_trip,budget,monsoon,27442.12
1379.6,20.1,1,6,train,comfort,spring,24458.92
395.3,7.7,1,4,flight,comfort,winter,16187.42
2015.4,38.2,8,3,train,comfort,spring,67698.39
232.6,4.7,3,3,train,comfort,summer,22699.95
2467.9,44.9,4,3,flight,luxury,monsoon,82733.98
1942.0,28.7,2,10,train,luxury,summer,93449.41
536.9,8.9,3,3,train,comfort,autumn,23597.5
63.5,1.2,3,3,bus,comfort,monsoon,21190.07
2047.9,28.7,3,4,flight,budget,summer,45870.48
1781.8,25.0,3,3,bus,luxury,monsoon,42460.81
1836.1,25.8,3,2,train,budget,winter,13640.66
1939.6,37.2,2,3,flight,budget,monsoon,23115.89
231.4,4.0,2,4,flight,budget,monsoon,12704.43
928.2,12.5,4,4,train,budget,winter,26103.84
333.9,4.9,2,4,flight,luxury,summer,35543.99
2164.6,47.2,3,4,train,comfort,monsoon,37821.38
1577.1,33.6,2,10,train,comfort,spring,47977.28
860.7,14.6,3,4,train,comfort,monsoon,31096.21
205.7,2.8,4,3,train,comfort,summer,24582.97
811.9,13.3,2,3,flight,budget,winter,15542.48
846.7,14.1,1,4,flight,comfort,summer,18145.59
1837.5,38.2,1,6,road_trip,comfort,autumn,22849.37
1612.0,24.9,3,3,bus,budget,monsoon,18278.32
2223.7,31.9,4,5,train,comfort,monsoon,53291.38
1206.9,21.4,1,2,road_trip,budget,winter,5068.26
343.0,5.0,4,4,road_trip,budget,monsoon,23416.38
1797.4,24.3,2,6,train,budget,spring,21119.42
1913.9,37.4,2,3,flight,budget,spring,22836.13
1425.1,23.5,6,4,road_trip,comfort,summer,65257.2
1938.9,36.2,2,3,flight,comfort,winter,30016.26
1259.8,18.3,2,5,road_trip,budget,autumn,19169.84
1330.7,21.3,1,2,train,comfort,summer,7191.84
1097.5,17.1,1,7,train,comfort,winter,27769.31
112.3,1.6,2,3,train,budget,winter,8419.84
314.3,5.5,1,7,flight,budget,summer,15589.58
127.0,1.8,3,4,bus,luxury,summer,56290.34
1609.2,26.4,2,5,road_trip,comfort,monsoon,24874.71
820.2,16.5,2,3,train,luxury,autumn,24024.13
1296.0,19.7,1,7,train,budget,spring,13904.36
2273.5,33.0,2,3,bus,comfort,monsoon,17340.54
660.8,12.1,3,3,flight,budget,winter,22489.37
1055.4,14.9,8,4,train,budget,autumn,51790.42
1901.1,26.3,1,2,flight,comfort,autumn,12799.32
610.6,11.5,5,3,bus,budget,summer,24336.09
238.6,3.2,3,10,bus,budget,autumn,48438.62
759.9,15.4,3,10,flight,budget,autumn,61287.39
445.0,8.7,2,4,train,budget,winter,12561.81
2327.8,46.1,1,7,road_trip,comfort,monsoon,27656.66
2029.9,28.3,1,4,flight,comfort,autumn,21023.2
1601.8,24.8,3,3,train,budget,summer,18601.77
2185.1,44.1,2,5,train,budget,monsoon,20196.84
2019.0,34.7,6,5,bus,budget,summer,56182.77
507.1,8.0,2,14,train,comfort,autumn,61237.16
2236.8,47.1,1,3,train,budget,monsoon,7597.88
1371.4,19.2,4,5,flight,comfort,autumn,69237.89
2028.2,29.3,2,2,train,budget,winter,9083.64
2245.4,37.3,2,3,flight,budget,monsoon,25778.74
829.1,11.2,3,2,train,luxury,summer,23138.37
319.6,5.6,6,14,flight,comfort,winter,209379.97
608.4,8.2,4,6,train,budget,spring,35642.46
1096.4,16.9,3,6,train,comfort,summer,54457.68
2054.1,32.1,3,4,train,comfort,autumn,35770.06
2158.8,43.2,6,3,road_trip,comfort,summer,55298.24
67.0,0.9,2,3,road_trip,comfort,spring,12082.16
1301.3,22.5,1,3,train,comfort,summer,11471.31
1072.7,21.5,2,4,bus,luxury,winter,33905.76
594.2,13.1,2,6,flight,budget,summer,23050.24
343.7,5.6,3,4,road_trip,comfort,monsoon,32815.77
877.2,14.4,3,2,train,comfort,spring,14284.64
2360.1,35.4,3,2,flight,budget,summer,36626.69
841.8,11.7,1,3,train,budget,spring,5925.9
1321.0,27.9,4,4,train,budget,winter,29752.35
1772.4,26.5,2,10,road_trip,comfort,monsoon,54620.99
940.9,18.6,3,5,flight,comfort,autumn,47394.82
2430.9,34.4,3,6,train,comfort,summer,61270.77
2408.0,34.6,2,4,train,budget,winter,16223.77
666.9,10.9,1,4,bus,comfort,spring,14491.98
1268.3,19.1,1,3,flight,luxury,spring,25027.74
787.2,14.5,4,7,train,budget,winter,38767.55
747.9,12.6,6,6,road_trip,comfort,summer,91869.95
140.4,2.0,3,3,train,comfort,autumn,21537.76
1543.4,26.3,1,4,train,comfort,summer,13269.52
1281.6,23.0,2,4,road_trip,comfort,monsoon,20336.6
176.1,2.9,4,5,train,luxury,summer,80307.07
732.7,10.5,4,10,train,budget,monsoon,65480.16
2275.3,41.3,1,4,flight,luxury,spring,36432.17
636.9,12.7,1,4,bus,budget,monsoon,8064.37
405.0,6.1,4,2,train,budget,autumn,11572.17
1249.2,17.9,2,2,road_trip,budget,winter,9750.14
2464.8,51.3,2,3,bus,comfort,monsoon,17220.43
643.0,12.3,1,2,train,budget,summer,3838.34
1696.7,34.4,2,5,bus,budget,monsoon,16522.19
1916.0,34.6,5,5,train,budget,spring,48979.56
632.2,10.8,8,3,train,luxury,monsoon,103388.08
1834.1,27.2,3,6,bus,comfort,autumn,56487.51
951.1,14.7,2,3,road_trip,comfort,monsoon,14766.79
1599.1,25.1,1,3,train,comfort,autumn,12028.76
1602.1,28.8,2,3,train,comfort,summer,15012.71
1362.6,19.4,2,4,flight,budget,spring,23455.06
271.2,4.6,3,3,train,luxury,winter,40551.1
2096.5,28.2,2,4,train,budget,summer,15956.27
835.9,13.1,2,4,train,budget,summer,13181.67
507.0,10.4,1,14,flight,budget,winter,30645.18
149.9,2.3,2,2,train,comfort,monsoon,7187.09
1497.7,27.4,1,3,train,comfort,monsoon,10179.95
1710.0,26.1,1,2,bus,comfort,monsoon,6346.27
90.6,1.9,10,5,bus,budget,spring,73569.38
1304.6,26.0,2,2,flight,comfort,summer,17345.84
604.9,8.6,2,6,train,budget,autumn,17878.55
1630.7,31.5,5,4,flight,budget,winter,73097.82
477.2,6.8,10,4,train,budget,summer,68872.69
1742.8,32.6,3,4,train,comfort,monsoon,37406.92
997.5,15.5,4,3,bus,budget,winter,20711.68
2345.0,35.6,2,3,train,comfort,autumn,16557.9
386.9,6.4,2,3,train,comfort,summer,12183.72
885.6,16.4,2,4,train,comfort,summer,18822.5
328.0,6.4,3,3,train,comfort,spring,22432.77
2315.5,50.3,3,3,train,budget,summer,21739.56
2199.5,40.6,2,10,road_trip,budget,summer,33866.65
682.0,10.6,1,2,train,comfort,autumn,6478.24
1667.0,22.8,3,6,train,comfort,autumn,55278.09
2052.2,28.8,1,6,train,comfort,winter,22099.88
1410.2,20.7,3,3,road_trip,luxury,monsoon,47311.85
1347.6,19.6,3,3,flight,budget,autumn,28961.73
642.5,9.9,4,3,train,budget,winter,18101.93
278.1,5.3,4,5,road_trip,comfort,summer,44021.48
2248.2,31.1,5,5,train,budget,winter,49867.16
2256.0,34.6,2,6,train,budget,winter,24714.43
1601.1,25.9,4,10,train,luxury,winter,186304.05
880.6,18.2,3,5,train,budget,winter,27684.34
905.6,15.5,1,3,train,luxury,autumn,20358.64
1828.6,31.1,1,3,flight,comfort,monsoon,16807.55
2247.9,31.7,2,6,train,comfort,winter,30467.74
2223.4,36.2,2,3,flight,budget,spring,24635.82
1960.7,34.8,3,2,train,budget,summer,14288.03
1623.0,21.8,4,5,train,comfort,summer,54700.53
256.1,5.3,1,4,train,budget,summer,8041.03
446.0,7.7,1,7,road_trip,budget,summer,14795.45
2251.5,48.7,8,5,train,budget,summer,78510.26
1535.8,22.9,1,2,flight,budget,winter,9484.82
72.5,1.0,2,10,train,budget,monsoon,29238.32
298.6,5.6,3,3,train,comfort,spring,21511.02
1675.6,23.7,2,3,train,budget,autumn,10919.13
62.4,1.2,1,4,train,budget,spring,8139.75
444.0,6.1,1,2,train,comfort,autumn,5636.19
1394.4,20.6,1,4,train,luxury,autumn,28098.15
1745.1,25.2,3,3,bus,budget,spring,19992.18
1647.3,36.2,2,4,train,budget,winter,16315.36
599.5,8.1,2,4,flight,comfort,summer,25287.46
1794.8,26.9,3,6,train,luxury,winter,99768.63
631.3,11.7,4,6,flight,comfort,summer,65749.3
847.2,12.1,1,3,flight,comfort,monsoon,13225.25
1878.9,35.2,2,4,train,budget,autumn,16607.95
1641.6,23.1,3,4,train,comfort,spring,36128.98
2130.6,44.0,2,3,bus,budget,monsoon,11550.84
1661.2,25.1,2,6,road_trip,comfort,summer,31803.03
1442.4,23.6,3,5,train,comfort,winter,47236.02
279.5,5.8,5,3,train,luxury,spring,64530.71
950.9,18.2,4,4,road_trip,budget,autumn,28616.58
699.7,15.4,3,3,train,budget,monsoon,15472.28
647.8,11.0,4,5,flight,comfort,autumn,55003.06
2433.9,45.0,2,3,train,comfort,summer,18535.87
1013.1,16.1,3,14,train,comfort,autumn,121455.31
2235.5,41.5,2,6,flight,budget,winter,33983.36
1596.3,29.6,1,4,flight,budget,monsoon,15385.67
1997.3,29.7,4,4,train,comfort,monsoon,43242.17
1281.5,27.6,3,7,flight,budget,winter,50296.12
1463.4,20.3,2,4,bus,luxury,autumn,34913.81
1256.7,17.8,6,3,flight,comfort,winter,64607.33
528.3,8.1,1,4,train,comfort,spring,14505.82
1820.0,29.0,2,6,flight,comfort,winter,41871.17
737.9,10.3,1,5,bus,comfort,autumn,19278.23
109.6,2.2,4,5,bus,budget,winter,26791.21
1631.4,34.4,4,7,flight,comfort,summer,94489.89
483.9,9.3,2,7,train,budget,winter,21315.3
2354.1,34.2,3,7,bus,comfort,winter,62767.07
2387.1,51.8,2,2,flight,budget,autumn,26018.03
2291.4,36.7,4,4,train,comfort,spring,44152.35
956.9,12.8,2,5,train,budget,spring,16787.41
87.9,1.2,2,6,train,budget,autumn,18706.71
2324.4,38.3,6,5,flight,luxury,autumn,187824.54
1099.1,23.4,2,3,train,budget,autumn,9949.75
2418.3,34.6,1,6,flight,comfort,summer,30993.96
2410.9,38.3,3,5,road_trip,luxury,monsoon,90988.02
2139.9,44.2,8,2,bus,budget,winter,37702.46
771.4,16.1,2,4,road_trip,comfort,autumn,19435.27
993.5,13.7,1,3,road_trip,budget,autumn,7007.58
2135.3,32.8,2,3,train,budget,autumn,12920.22
826.5,11.8,2,2,flight,budget,spring,12139.84
465.3,6.5,1,4,train,luxury,autumn,26078.25
1414.2,22.8,3,4,road_trip,budget,winter,23985.97
2343.6,38.7,10,5,train,comfort,autumn,121772.04
1755.3,30.3,2,5,road_trip,comfort,winter,28417.13
1446.6,26.5,2,6,flight,luxury,summer,58285.23
288.1,5.0,2,3,bus,budget,monsoon,9571.21
1556.8,22.8,1,3,train,comfort,spring,11320.98
2475.6,39.3,5,7,train,comfort,winter,98292.73
393.2,5.5,2,3,bus,comfort,summer,13576.25
1319.9,22.6,2,10,train,luxury,monsoon,97342.19
2199.6,34.8,3,6,bus,comfort,monsoon,58742.72
1864.9,29.2,2,4,train,budget,monsoon,14684.46
1757.7,28.0,3,14,flight,comfort,winter,150447.11
1771.1,26.8,1,2,train,budget,summer,5360.09
930.8,17.9,4,3,flight,budget,autumn,34337.2
769.3,12.7,6,5,flight,comfort,summer,79712.45
2032.9,42.2,3,4,train,budget,summer,25033.28
2034.8,36.0,8,7,train,budget,summer,95689.96
2174.3,36.5,1,2,train,luxury,winter,13218.79
2287.4,35.4,2,4,flight,budget,winter,31161.25
1302.8,17.7,3,4,flight,luxury,winter,77940.17
1278.7,20.3,3,5,bus,comfort,summer,44530.28
2005.8,29.8,2,3,flight,comfort,winter,29492.12
1642.4,27.3,2,4,train,comfort,monsoon,19914.91
1769.8,27.6,1,6,train,budget,winter,13342.13
1999.7,42.4,2,3,train,budget,spring,12544.02
2230.5,42.4,1,6,train,budget,winter,13694.57
878.1,15.7,4,4,road_trip,budget,winter,27189.1
970.2,16.4,2,6,road_trip,luxury,winter,53146.38
280.3,6.0,1,5,train,comfort,winter,17317.94
1466.8,29.8,3,3,flight,budget,spring,31910.8
138.1,2.6,3,4,bus,budget,autumn,18572.88
1190.7,16.1,5,7,train,budget,winter,59296.45
1379.5,25.1,3,4,train,budget,monsoon,22078.45
752.0,12.6,2,10,train,comfort,spring,49469.53
1497.5,29.4,4,4,flight,budget,autumn,49671.01
124.7,2.0,2,3,road_trip,comfort,winter,12931.65
141.5,2.6,1,4,flight,budget,autumn,7383.98
2065.4,40.3,3,10,train,budget,monsoon,59362.39
932.5,15.4,6,3,train,comfort,spring,43820.91
361.3,8.0,2,7,bus,comfort,spring,34658.74
1329.5,29.4,2,7,bus,luxury,autumn,66019.16
1936.5,37.5,1,4,flight,luxury,winter,34047.72
578.8,12.6,1,2,flight,budget,summer,5447.89
1576.1,32.7,2,5,train,budget,spring,19357.97
259.1,4.7,3,3,bus,comfort,summer,24000.24
176.6,2.6,1,6,bus,luxury,spring,44695.97
1351.8,21.7,6,4,train,comfort,winter,62347.08
1374.6,22.8,4,4,bus,budget,winter,28577.15
1611.7,30.0,3,6,train,luxury,spring,109243.63
1828.9,25.1,4,4,train,budget,autumn,30972.91
2440.8,42.9,1,4,train,comfort,winter,15109.94
1314.9,27.6,2,4,train,luxury,winter,33086.2
841.2,13.2,3,4,train,budget,monsoon,24725.24
1998.2,41.3,4,4,train,luxury,winter,66337.08
713.5,12.9,4,6,flight,budget,monsoon,46905.08
1125.5,18.7,2,4,flight,luxury,winter,45133.62
242.2,3.4,6,4,train,budget,winter,33791.15
112.1,1.9,1,5,train,luxury,autumn,31154.9
2408.5,36.5,5,3,flight,budget,autumn,62869.88
2098.2,28.1,8,3,train,comfort,winter,64208.53
1755.1,35.9,1,10,train,comfort,spring,36684.45
1051.9,19.8,4,5,road_trip,comfort,spring,54436.99
474.6,8.3,1,4,bus,budget,winter,7956.1
433.3,7.5,2,5,road_trip,comfort,spring,21236.72
663.1,11.6,2,2,flight,budget,winter,9726.86
1395.6,19.3,3,5,train,comfort,autumn,47212.05
1800.8,27.1,6,4,flight,budget,summer,79741.93
1667.5,26.4,3,4,train,luxury,monsoon,68269.0
735.8,13.6,2,4,train,budget,spring,13536.06
2389.4,34.3,4,2,train,budget,spring,19333.39
1857.8,25.2,8,3,bus,budget,autumn,48571.08
1408.2,20.2,1,10,train,budget,spring,22463.87
1548.7,34.4,10,4,road_trip,budget,winter,74252.92
1078.0,16.8,1,4,road_trip,comfort,winter,14195.31
656.9,14.1,4,2,flight,luxury,summer,38409.49
922.1,17.5,2,2,bus,comfort,summer,8346.12
1906.7,40.8,1,5,flight,comfort,summer,26084.12
85.3,1.4,2,4,bus,budget,winter,11253.69
334.4,5.1,3,4,train,comfort,summer,31994.68
162.7,3.4,2,3,bus,budget,summer,8356.8
149.8,2.7,1,5,flight,comfort,winter,19056.41
2145.9,36.6,3,3,road_trip,budget,autumn,25434.57
1774.0,31.6,6,3,flight,budget,spring,69410.7
1211.7,24.9,2,4,flight,budget,monsoon,20411.68
289.7,5.0,2,3,bus,luxury,winter,21229.0
1254.5,18.6,2,3,bus,budget,winter,9657.42
1210.0,25.7,1,5,flight,comfort,monsoon,22253.58
474.3,10.0,4,5,train,budget,monsoon,27976.79
1112.9,20.0,4,6,flight,comfort,summer,74301.57
1026.3,14.0,3,4,road_trip,luxury,monsoon,64373.14
1558.8,24.0,2,2,bus,budget,spring,8361.96
1606.0,24.6,4,3,bus,comfort,spring,28454.13
161.0,2.9,3,14,train,luxury,spring,229218.79
967.8,15.4,4,4,flight,comfort,spring,54521.05
1583.4,34.9,3,5,flight,comfort,spring,55707.77
1282.7,20.0,4,2,bus,comfort,summer,20809.95
2148.4,29.7,3,4,train,comfort,winter,35948.65
1663.8,26.3,2,2,road_trip,budget,monsoon,10168.35
449.2,6.3,8,4,flight,comfort,winter,87428.04
222.9,3.3,2,7,train,budget,monsoon,21566.96
1623.9,33.4,3,10,train,budget,summer,60010.86
115.0,1.6,2,4,train,comfort,summer,15802.46
1485.2,31.6,3,4,flight,budget,autumn,38308.47
2353.6,38.6,3,10,train,budget,autumn,57733.74
1459.9,29.6,1,5,train,comfort,summer,18124.62
1001.0,22.1,1,2,bus,luxury,summer,11652.94
1626.1,28.2,3,4,train,luxury,monsoon,64314.0
1172.7,21.8,4,3,train,luxury,summer,47609.88
1386.8,23.3,2,4,flight,luxury,winter,43616.93
2356.6,37.8,2,4,flight,budget,monsoon,28316.8
996.0,21.5,3,4,bus,budget,summer,20100.05
2404.9,49.4,1,4,train,comfort,monsoon,15778.56
2268.1,36.7,2,3,bus,budget,monsoon,12605.73
529.7,9.6,1,4,flight,comfort,spring,16620.48
219.9,3.3,1,6,train,comfort,autumn,20971.08
296.9,4.6,2,5,train,budget,monsoon,14120.83
94.6,1.3,2,3,train,luxury,monsoon,22047.45
281.4,4.3,1,10,train,comfort,spring,38347.18
1723.4,29.8,2,7,bus,comfort,summer,32337.77
224.4,3.4,2,3,flight,luxury,monsoon,22120.43
831.5,15.6,2,2,train,comfort,spring,8749.03
2119.9,39.1,2,5,train,budget,winter,18817.66
107.0,1.6,4,6,train,comfort,spring,55519.2
2045.4,35.0,1,10,flight,comfort,autumn,43842.22
740.5,10.7,2,7,train,comfort,autumn,33905.63
339.5,4.9,1,5,flight,comfort,summer,19874.5
1757.0,24.8,1,4,train,comfort,summer,13118.94
1590.9,21.9,3,2,flight,budget,autumn,27748.07
2199.8,38.0,3,3,road_trip,luxury,autumn,46733.56
1850.9,33.9,5,4,train,luxury,monsoon,99219.92
2018.5,32.3,3,5,flight,budget,autumn,45575.41
741.0,13.2,8,4,road_trip,budget,summer,55245.27
484.7,7.7,1,5,train,luxury,autumn,39450.44
1889.0,28.5,1,3,flight,luxury,summer,25091.73
2026.7,30.9,1,4,train,luxury,winter,28201.56
2476.7,44.0,1,2,flight,luxury,autumn,19630.04
1060.9,21.2,2,4,train,comfort,summer,19845.27
961.4,16.6,3,6,road_trip,comfort,spring,51251.77
1952.2,39.6,1,5,bus,comfort,monsoon,19035.71
885.0,12.3,6,14,bus,budget,summer,127237.59
2330.4,42.1,4,3,bus,comfort,autumn,32284.29
2153.1,43.4,2,4,flight,comfort,autumn,35869.08
1101.0,24.1,1,3,train,comfort,winter,10749.38
1889.6,29.4,1,4,road_trip,comfort,spring,15385.72
1898.6,29.6,1,7,road_trip,comfort,summer,29552.38
302.7,5.5,1,5,flight,budget,spring,12523.18
2261.3,48.0,2,7,road_trip,budget,winter,30364.72
1287.9,22.5,2,3,flight,budget,monsoon,18310.96
2074.8,38.2,2,7,flight,budget,spring,38178.64
834.1,12.8,10,2,flight,luxury,winter,92876.91
2244.0,35.5,3,7,train,budget,summer,42714.54
1003.5,17.9,6,3,train,budget,monsoon,30270.58
76.6,1.5,1,3,train,comfort,autumn,9208.59
2268.2,30.4,2,4,flight,comfort,winter,34928.04
273.7,4.7,3,10,train,budget,autumn,53796.59
832.3,12.7,1,2,train,comfort,monsoon,6109.08
2377.7,48.3,1,4,road_trip,comfort,winter,17719.82
2379.0,39.9,3,7,train,budget,winter,44771.48
1454.9,31.7,3,4,flight,budget,monsoon,39209.21
1598.0,26.6,2,3,train,luxury,summer,26111.59
1148.7,15.5,2,4,train,comfort,winter,20913.87
768.4,13.6,2,4,bus,comfort,monsoon,20117.86
855.2,18.5,1,7,flight,budget,spring,16598.97
1697.7,37.0,2,6,bus,budget,autumn,20317.55
1893.3,33.4,1,4,train,comfort,winter,16031.47
1989.4,39.9,1,14,flight,budget,spring,35605.81
1984.6,43.4,8,4,train,budget,winter,61133.28
273.5,4.0,3,2,train,comfort,summer,13128.8
1261.3,21.5,4,3,train,budget,monsoon,21499.58
191.0,3.6,2,4,train,comfort,winter,17678.41
1396.3,19.4,2,3,train,comfort,monsoon,14303.07
1131.7,23.3,2,10,train,budget,winter,32228.89
2224.9,30.2,1,6,road_trip,comfort,summer,25653.05
909.7,16.7,1,3,train,budget,summer,6755.46
336.8,4.7,4,4,train,comfort,spring,35400.03
400.3,6.3,3,5,train,budget,summer,24352.7
1915.7,27.4,2,10,flight,budget,monsoon,47527.81
1564.6,21.0,2,7,train,comfort,summer,30236.82
297.8,5.5,6,4,road_trip,comfort,winter,53770.11
256.1,3.5,1,6,road_trip,luxury,summer,43975.97
1767.4,31.2,2,4,train,budget,monsoon,15285.07
228.3,4.0,2,4,flight,budget,winter,13934.83
2063.6,37.4,4,3,train,comfort,spring,35860.96
1780.3,29.1,10,3,flight,comfort,spring,136942.58
249.3,5.0,2,4,train,budget,spring,10836.97
257.9,4.2,5,3,train,comfort,winter,33971.75
2467.3,40.3,4,2,train,comfort,spring,24353.2
967.0,14.3,2,5,flight,luxury,summer,49718.91
958.1,13.7,2,2,train,luxury,winter,13746.31
2041.4,35.1,2,4,train,budget,winter,15150.99
2370.8,43.8,8,4,flight,comfort,winter,139166.67
2465.7,46.7,1,10,flight,budget,autumn,29324.6
1895.8,37.3,4,4,road_trip,comfort,monsoon,45150.53
971.8,20.8,2,2,train,comfort,autumn,9878.94
254.6,4.6,4,4,bus,luxury,autumn,60544.22
1954.0,36.8,2,6,flight,comfort,autumn,43945.42
1418.1,19.2,3,14,train,luxury,monsoon,259358.34
1089.3,17.6,4,4,flight,comfort,autumn,53214.54
2270.6,41.0,4,3,train,luxury,spring,49734.83
322.4,5.2,5,7,road_trip,comfort,winter,98200.43
1256.9,25.6,1,3,train,comfort,winter,10820.92
77.8,1.3,3,5,flight,budget,summer,22117.15
1198.2,18.8,1,4,train,budget,spring,9261.05
187.9,3.1,2,2,road_trip,budget,monsoon,5885.26
341.1,6.0,2,3,train,comfort,winter,13067.92
337.9,4.5,2,3,road_trip,comfort,autumn,14331.94
1640.6,23.0,2,5,road_trip,comfort,summer,29063.39
1877.8,29.5,10,10,train,luxury,summer,492973.95
1479.3,23.8,1,3,bus,luxury,winter,20884.19
2407.3,37.8,3,6,road_trip,budget,spring,42943.57
968.4,19.0,2,2,train,budget,summer,6492.05
750.0,13.2,1,4,train,budget,winter,7537.6
2178.1,47.2,1,2,flight,budget,spring,12768.93
597.8,10.1,6,10,train,comfort,winter,156419.46
2409.9,39.3,5,6,train,comfort,winter,86589.8
79.8,1.5,6,5,train,comfort,spring,63671.68
2426.2,32.8,10,6,train,luxury,spring,282348.11
155.7,2.2,2,5,train,comfort,spring,20998.71
2233.3,33.5,2,10,train,budget,winter,34420.11
1342.9,22.0,3,5,road_trip,comfort,summer,45869.48
2482.8,34.9,2,7,bus,budget,monsoon,24934.24
230.8,4.7,2,4,train,budget,monsoon,12810.89
1406.9,20.5,2,3,flight,budget,winter,19286.92
2424.8,49.7,3,4,flight,comfort,winter,61315.67
1331.6,19.3,3,3,road_trip,budget,summer,18819.69
1592.0,29.9,1,4,train,budget,spring,9581.51
1754.6,24.6,2,4,train,comfort,winter,20870.98
1163.6,15.9,3,5,road_trip,comfort,autumn,48481.9
1587.5,32.1,3,2,road_trip,budget,spring,14206.53
1481.6,25.2,2,3,bus,budget,winter,10883.26
2257.8,30.3,4,4,bus,comfort,autumn,43263.72
161.3,2.7,1,10,train,budget,summer,21410.76
738.4,10.4,2,4,flight,luxury,autumn,36008.03
2378.5,38.0,4,4,train,comfort,winter,46630.5
2231.1,39.7,3,5,train,budget,monsoon,30389.65
1166.4,21.8,2,5,bus,budget,winter,16593.51
1569.3,30.7,3,3,train,budget,monsoon,19382.9
729.6,10.8,3,4,flight,budget,summer,26500.71
510.9,9.0,4,3,road_trip,budget,summer,20402.62
1186.1,19.7,4,10,train,comfort,spring,102506.89
915.7,15.3,3,3,road_trip,budget,spring,17719.49
1480.0,23.7,2,4,road_trip,comfort,monsoon,21489.08
240.4,3.4,1,2,flight,comfort,monsoon,5468.1
2437.3,32.7,2,3,train,budget,summer,13407.96
2466.2,43.1,2,6,train,budget,autumn,22446.77
1760.5,25.2,3,3,train,budget,monsoon,19771.91
1363.4,20.1,2,2,train,budget,monsoon,8214.75
808.3,13.0,2,4,train,comfort,autumn,19993.81
2043.8,27.7,1,2,road_trip,budget,spring,6938.26
1727.6,33.9,2,2,train,comfort,spring,12504.8
448.4,9.3,2,6,bus,budget,monsoon,18720.75
