distance_km,people,days,transport_type,ranking_mode,user_budget,price,duration_hours,comfort_rating,transport_score
2150.7,2,3,train,fastest,21233.23,4946.7,33.6,4.3,47.14
1447.0,3,6,central_bus,comfort,65219.74,4124.02,36.7,3.5,62.01
2214.8,6,4,car,balanced,34972.89,29235.91,37.4,4.5,44.9
239.7,3,4,taxi,balanced,19168.54,2732.89,4.5,4.8,71.15
494.5,1,4,train,fastest,61923.98,568.65,8.1,4.3,48.45
137.2,1,6,train,balanced,11817.42,157.77,2.6,4.3,69.52
801.0,6,6,train,fastest,43607.55,5527.13,12.8,4.3,45.65
951.2,2,4,car,balanced,9790.68,4185.13,16.4,4.5,57.11
673.1,1,3,taxi,budget,31731.34,2557.77,11.7,4.8,77.68
1994.1,2,4,flight,fastest,50080.76,17548.15,7.2,4.7,94.94
875.5,3,4,intercity_bus,comfort,46708.67,3808.45,18.0,4.1,68.44
695.8,3,3,intercity_bus,budget,35349.16,3026.79,14.4,4.1,74.79
1316.2,2,5,intercity_bus,comfort,37178.6,3816.95,26.8,4.1,66.48
364.0,1,4,train,balanced,22007.72,418.59,6.1,4.3,71.41
1931.2,6,3,intercity_bus,budget,39191.19,16801.5,39.1,4.1,60.4
206.7,2,2,train,balanced,76494.11,475.38,3.7,4.3,72.78
2368.9,3,3,train,fastest,68783.97,8172.78,36.9,4.3,47.36
1860.2,3,7,taxi,comfort,15892.47,21206.51,31.5,4.8,62.53
501.0,3,3,flight,balanced,7233.56,6612.62,2.9,4.7,64.55
43.1,2,3,intercity_bus,comfort,75014.32,124.95,1.4,4.1,68.18
1962.6,2,4,intercity_bus,comfort,44506.23,5691.67,39.8,4.1,65.93
1705.3,2,3,intercity_bus,balanced,45337.84,4945.23,34.6,4.1,65.58
1757.7,4,2,flight,fastest,63553.85,30936.35,6.5,4.7,91.9
1857.9,6,3,flight,comfort,28601.67,49048.84,6.8,4.7,82.61
205.5,1,4,flight,balanced,41143.07,904.14,2.1,4.7,95.62
879.6,1,4,flight,fastest,77649.72,3870.08,4.0,4.7,95.7
304.6,6,3,train,balanced,55411.15,2101.81,5.2,4.3,73.06
2075.6,3,4,train,fastest,16530.88,7160.67,32.4,4.3,42.73
1507.2,5,7,intercity_bus,comfort,14992.01,10927.32,30.6,4.1,58.27
814.2,1,3,train,budget,20319.86,936.36,13.0,4.3,78.69
180.6,2,3,flight,balanced,62503.38,1589.57,2.0,4.7,94.5
767.0,3,3,train,comfort,27153.28,2646.25,12.3,4.3,72.23
800.7,3,4,train,balanced,6604.16,2762.36,12.8,4.3,57.79
1759.2,2,5,intercity_bus,balanced,75813.08,5101.58,35.7,4.1,69.57
1541.0,1,3,bike,fastest,17728.51,2465.62,28.5,3.8,42.62
2132.7,2,5,train,balanced,5716.86,4905.2,33.3,4.3,41.59
1149.1,2,2,central_bus,fastest,22784.87,2183.38,29.2,3.5,40.96
313.4,2,4,intercity_bus,comfort,22627.16,908.97,6.8,4.1,68.76
1720.4,6,5,train,balanced,36650.39,11870.69,27.0,4.3,57.95
1833.1,2,3,intercity_bus,comfort,74029.24,5315.88,37.2,4.1,68.06
1360.2,4,4,flight,budget,70938.87,23939.99,5.4,4.7,78.39
1857.2,1,3,intercity_bus,comfort,39267.09,2692.93,37.6,4.1,68.48
1200.3,3,5,taxi,balanced,35817.49,13683.37,20.5,4.8,55.98
1268.9,8,2,train,budget,46625.68,11673.67,20.0,4.3,65.02
1043.3,1,6,train,fastest,23259.05,1199.76,16.6,4.3,48.45
90.2,1,3,car,budget,8913.87,198.54,2.0,4.5,78.49
285.7,2,6,intercity_bus,balanced,75441.81,828.54,6.2,4.1,67.72
104.5,1,3,central_bus,balanced,19002.42,99.26,3.1,3.5,68.65
1538.3,3,5,flight,comfort,19880.05,20305.46,5.9,4.7,81.29
775.0,5,3,train,fastest,40434.52,4456.39,12.4,4.3,47.95
1235.3,2,7,flight,balanced,41871.0,10870.75,5.0,4.7,87.76
2180.9,2,2,train,balanced,6382.57,5016.14,34.1,4.3,47.99
620.8,2,3,train,fastest,16096.61,1427.89,10.1,4.3,45.95
1002.6,3,4,train,fastest,33361.61,3459.0,15.9,4.3,49.32
1820.7,1,2,flight,comfort,56279.8,8010.89,6.7,4.7,93.57
572.3,2,3,train,budget,22131.38,1316.18,9.3,4.3,74.86
212.4,3,7,flight,fastest,36726.08,2804.24,2.1,4.7,97.36
716.7,3,10,car,balanced,46800.88,4730.29,12.4,4.5,68.58
412.1,1,3,intercity_bus,fastest,71644.44,597.54,8.7,4.1,43.11
2233.4,3,7,intercity_bus,balanced,29455.29,9715.22,45.2,4.1,56.66
1945.2,1,4,intercity_bus,comfort,15016.87,2820.61,39.4,4.1,66.12
1531.2,1,3,train,budget,41695.42,1760.84,24.1,4.3,78.73
2095.4,5,5,intercity_bus,comfort,61004.12,15191.37,42.4,4.1,61.53
1934.7,3,5,central_bus,fastest,13239.48,5513.9,48.9,3.5,39.27
472.2,1,10,bike,balanced,36851.26,755.47,9.1,3.8,67.66
2145.4,1,3,car,fastest,6333.89,4719.8,36.3,4.5,37.84
1308.2,1,5,taxi,fastest,7516.94,4971.32,22.3,4.8,42.68
1943.6,2,2,taxi,fastest,41221.5,14771.61,32.9,4.8,44.27
2153.7,1,2,intercity_bus,fastest,27364.8,3122.92,43.6,4.1,45.45
783.7,1,2,central_bus,budget,68383.05,744.48,20.1,3.5,77.4
290.8,2,10,taxi,balanced,50161.57,2210.26,5.3,4.8,71.0
570.2,3,6,intercity_bus,fastest,39044.97,2480.4,11.9,4.1,43.91
1042.2,3,5,bike,balanced,35595.15,5002.78,19.4,3.8,64.92
1968.7,3,4,intercity_bus,budget,42293.41,8563.82,39.9,4.1,68.31
2069.9,1,3,central_bus,balanced,8032.91,1966.43,52.2,3.5,57.08
46.5,6,3,flight,balanced,71959.5,1226.98,1.6,4.7,97.42
1240.5,4,3,car,budget,79872.74,10916.15,21.2,4.5,73.38
1019.3,4,3,train,fastest,18611.53,4688.61,16.2,4.3,45.27
556.4,4,5,flight,balanced,14028.72,9792.56,3.1,4.7,74.3
314.1,6,4,intercity_bus,comfort,15768.31,2732.5,6.8,4.1,66.2
830.1,2,2,train,balanced,54577.03,1909.34,13.3,4.3,70.27
2264.7,1,2,flight,fastest,54608.06,9964.66,8.0,4.7,94.68
796.0,3,2,central_bus,comfort,68594.31,2268.57,20.4,3.5,63.01
1259.5,3,4,central_bus,fastest,61386.98,3589.67,32.0,3.5,41.8
1696.2,3,7,train,balanced,38726.73,5851.73,26.6,4.3,67.53
891.8,2,4,intercity_bus,budget,50964.15,2586.23,18.3,4.1,75.65
2333.1,1,6,central_bus,fastest,56621.35,2216.47,58.8,3.5,40.78
2311.0,2,4,intercity_bus,fastest,43455.24,6701.9,46.7,4.1,44.42
626.7,6,3,train,budget,40673.82,4324.4,10.1,4.3,75.38
1208.5,2,2,bike,balanced,53382.31,3867.13,22.5,3.8,65.22
743.1,2,6,intercity_bus,fastest,46810.59,2154.94,15.4,4.1,46.27
705.1,2,5,flight,balanced,53295.67,6204.63,3.5,4.7,90.48
117.4,2,3,intercity_bus,balanced,50964.11,340.52,2.8,4.1,70.53
1474.7,5,4,intercity_bus,balanced,58939.74,10691.34,30.0,4.1,61.34
1221.3,3,4,intercity_bus,budget,53210.26,5312.87,24.9,4.1,76.89
152.0,4,4,intercity_bus,balanced,43980.69,881.63,3.5,4.1,66.57
690.4,2,7,intercity_bus,balanced,56134.76,2002.14,14.3,4.1,70.07
2182.6,3,4,intercity_bus,comfort,38711.15,9494.27,44.2,4.1,65.17
597.8,1,4,intercity_bus,comfort,23125.34,866.75,12.5,4.1,67.86
373.4,3,2,train,comfort,5106.37,1288.23,6.2,4.3,68.34
1190.0,2,2,intercity_bus,fastest,46997.31,3451.01,24.3,4.1,44.98
2366.0,2,3,train,fastest,49299.14,5441.78,36.9,4.3,45.28
603.7,3,2,train,comfort,77903.67,2082.66,9.8,4.3,70.22
1623.0,6,5,car,budget,32110.88,21423.09,27.5,4.5,48.05
1835.0,1,5,central_bus,budget,34559.99,1743.29,46.4,3.5,72.2
593.2,4,2,central_bus,comfort,20134.97,2254.16,15.3,3.5,60.3
1755.9,2,6,intercity_bus,fastest,10290.07,5092.03,35.6,4.1,44.38
901.6,2,3,car,fastest,62960.34,3967.24,15.5,4.5,45.2
1528.6,1,3,central_bus,budget,23726.08,1452.14,38.7,3.5,75.95
1531.5,2,3,flight,balanced,50667.86,13476.9,5.9,4.7,86.91
1299.8,2,3,intercity_bus,budget,56582.98,3769.38,26.5,4.1,76.49
244.0,1,3,bike,balanced,40342.75,390.38,4.9,3.8,69.76
2009.7,2,4,taxi,fastest,70726.41,15273.47,34.0,4.8,47.42
790.2,6,4,taxi,fastest,38284.61,18017.67,13.7,4.8,42.88
472.0,1,10,train,comfort,26368.15,542.86,7.8,4.3,74.52
126.6,4,2,train,fastest,72201.16,582.53,2.4,4.3,46.78
1430.4,2,2,train,balanced,69617.32,3289.96,22.5,4.3,70.17
1635.8,3,2,train,budget,17303.0,5643.61,25.7,4.3,64.37
69.3,2,4,taxi,comfort,6947.08,526.78,1.7,4.8,73.17
1243.7,1,2,train,balanced,11748.92,1430.21,19.6,4.3,66.78
566.8,1,6,train,budget,26491.05,651.81,9.2,4.3,79.33
1559.1,1,4,train,budget,77919.49,1792.92,24.5,4.3,78.52
443.2,1,4,train,budget,46888.71,509.74,7.3,4.3,83.43
1667.5,3,4,train,fastest,32994.63,5752.95,26.2,4.3,44.74
946.6,5,3,flight,budget,71653.71,20824.38,4.2,4.7,84.64
2250.1,4,3,central_bus,fastest,38985.22,8550.19,56.8,3.5,40.95
355.9,3,3,train,budget,28642.9,1227.94,6.0,4.3,78.15
838.3,1,4,intercity_bus,budget,75591.46,1215.57,17.3,4.1,76.96
298.9,2,3,intercity_bus,fastest,68713.82,866.9,6.5,4.1,43.49
2221.5,2,2,train,fastest,68275.13,5109.5,34.7,4.3,46.22
2109.3,1,10,central_bus,balanced,43421.36,2003.83,53.2,3.5,62.63
641.3,2,2,flight,budget,64207.88,5643.63,3.3,4.7,91.5
1594.2,2,6,flight,fastest,18451.5,14028.63,6.1,4.7,87.57
1966.8,2,5,flight,balanced,47991.72,17307.99,7.1,4.7,86.5
1345.8,2,3,train,balanced,78788.44,3095.4,21.2,4.3,71.02
1285.3,4,2,car,fastest,26821.88,11310.39,21.9,4.5,44.25
603.2,4,2,flight,budget,64576.42,10616.14,3.2,4.7,90.06
250.7,2,5,car,balanced,41785.88,1102.88,4.7,4.5,70.97
2156.4,5,4,train,budget,7985.43,12399.31,33.7,4.3,32.51
2164.0,6,5,car,budget,62226.45,28564.68,36.6,4.5,56.56
1530.5,2,7,flight,balanced,17642.69,13467.96,5.9,4.7,70.54
833.5,2,5,taxi,fastest,52360.52,6334.6,14.4,4.8,47.8
857.6,2,3,train,budget,11424.81,1972.54,13.7,4.3,69.7
1750.5,6,3,flight,comfort,76015.05,46213.59,6.5,4.7,91.33
2156.2,5,6,car,fastest,26879.29,23717.66,36.4,4.5,38.51
2132.4,1,3,central_bus,balanced,21984.85,2025.78,53.8,3.5,63.92
1878.3,2,2,central_bus,comfort,14685.23,3568.78,47.5,3.5,61.1
1551.6,2,5,car,budget,75950.16,6827.11,26.4,4.5,77.31
229.4,2,4,intercity_bus,fastest,58392.78,665.29,5.1,4.1,44.71
413.1,1,7,central_bus,comfort,60624.57,392.41,10.8,3.5,62.96
2159.6,4,5,intercity_bus,fastest,42455.34,12525.53,43.7,4.1,39.56
1467.2,3,2,car,budget,40604.58,9683.76,25.0,4.5,67.67
51.8,4,7,train,fastest,13251.59,238.27,1.3,4.3,48.34
270.5,4,3,intercity_bus,comfort,46988.08,1568.83,5.9,4.1,69.14
1602.5,3,3,central_bus,fastest,23518.74,4567.12,40.6,3.5,41.75
42.0,2,4,flight,balanced,78285.9,369.56,1.6,4.7,96.75
411.1,3,2,central_bus,balanced,64743.57,1171.68,10.8,3.5,64.21
1330.5,1,4,car,comfort,35974.4,2927.1,22.7,4.5,73.65
1669.8,3,2,car,fastest,16350.59,11020.62,28.3,4.5,42.7
1575.1,1,4,train,comfort,63899.88,1811.42,24.7,4.3,72.77
561.5,3,3,intercity_bus,fastest,14154.03,2442.6,11.7,4.1,42.8
1717.9,1,5,train,budget,19200.03,1975.54,26.9,4.3,76.74
592.3,1,6,train,balanced,20864.04,681.12,9.6,4.3,75.47
801.2,1,3,intercity_bus,budget,46766.8,1161.74,16.5,4.1,77.99
1799.2,1,3,car,fastest,64029.25,3958.21,30.5,4.5,44.7
1569.6,3,3,taxi,budget,28573.62,17893.78,26.7,4.8,48.84
2042.7,3,3,train,comfort,11350.24,7047.18,31.9,4.3,63.47
1588.5,2,5,train,comfort,39840.38,3653.65,24.9,4.3,68.06
1376.9,1,5,central_bus,fastest,61108.27,1308.05,34.9,3.5,41.9
252.0,1,3,intercity_bus,balanced,21624.79,365.41,5.5,4.1,69.56
901.5,1,3,train,comfort,21494.34,1036.71,14.4,4.3,73.42
658.5,1,2,taxi,balanced,76042.03,2502.41,11.5,4.8,73.36
608.3,5,4,car,fastest,76561.53,6690.81,10.6,4.5,47.71
2336.0,1,2,intercity_bus,balanced,79284.93,3387.25,47.2,4.1,64.85
961.6,2,10,taxi,fastest,65574.47,7308.48,16.5,4.8,48.15
2144.2,1,5,intercity_bus,budget,19113.81,3109.02,43.4,4.1,71.98
1525.8,1,3,flight,fastest,20898.61,6713.51,5.9,4.7,94.57
1913.7,2,4,intercity_bus,budget,30516.89,5549.74,38.8,4.1,67.37
1221.2,3,7,train,fastest,28859.94,4213.31,19.3,4.3,45.12
1397.3,1,4,car,comfort,76739.58,3073.98,23.8,4.5,70.93
1197.3,1,3,intercity_bus,comfort,64180.55,1736.04,24.4,4.1,65.54
492.7,2,3,flight,balanced,59300.66,4335.99,2.9,4.7,94.54
1742.2,1,6,intercity_bus,fastest,18947.24,2526.21,35.3,4.1,42.24
695.4,1,4,train,fastest,73214.42,799.75,11.2,4.3,51.57
87.6,6,5,train,fastest,67090.28,604.64,1.8,4.3,47.4
1559.8,3,6,intercity_bus,balanced,17273.14,6785.0,31.7,4.1,57.78
449.8,2,6,central_bus,comfort,70337.77,854.53,11.7,3.5,60.32
2258.9,2,7,train,fastest,25418.57,5195.44,35.3,4.3,44.9
2290.8,2,2,central_bus,balanced,11065.23,4352.54,57.8,3.5,53.31
2198.2,2,4,central_bus,fastest,54261.67,4176.63,55.5,3.5,39.73
907.3,3,5,flight,budget,54035.35,11976.04,4.1,4.7,85.69
66.6,3,5,intercity_bus,fastest,12119.9,289.85,1.8,4.1,44.21
2230.1,1,4,car,budget,28913.89,4906.25,37.7,4.5,71.59
1044.8,2,3,intercity_bus,balanced,79461.08,3029.91,21.4,4.1,71.03
2321.0,2,5,intercity_bus,balanced,55882.0,6730.82,46.9,4.1,65.94
2313.8,5,5,train,comfort,59755.64,13304.23,36.1,4.3,69.22
2051.6,3,2,train,fastest,20968.8,7078.13,32.1,4.3,45.18
727.8,2,4,train,balanced,10908.66,1674.04,11.7,4.3,67.02
942.7,1,3,central_bus,comfort,25767.63,895.55,24.1,3.5,62.21
2047.2,3,3,train,fastest,23667.38,7062.82,32.0,4.3,44.28
781.1,1,2,train,balanced,22590.81,898.27,12.5,4.3,70.33
431.7,2,4,flight,budget,19456.57,3798.94,2.7,4.7,89.37
1349.6,1,4,train,balanced,48106.68,1552.06,21.3,4.3,72.03
2248.7,3,4,train,budget,29607.76,7757.97,35.1,4.3,66.85
1679.6,1,5,train,comfort,66525.88,1931.53,26.3,4.3,72.56
1381.0,2,6,flight,comfort,18796.06,12153.2,5.4,4.7,85.81
260.3,5,3,train,fastest,39847.03,1496.77,4.5,4.3,47.42
1487.6,1,2,intercity_bus,fastest,6024.34,2156.97,30.3,4.1,40.48
2376.4,2,6,intercity_bus,fastest,41126.17,6891.64,48.0,4.1,42.82
362.0,2,3,central_bus,comfort,9187.87,687.8,9.5,3.5,63.75
1258.4,1,10,central_bus,budget,78329.26,1195.52,32.0,3.5,76.66
2109.4,4,6,flight,fastest,64294.41,37124.99,7.5,4.7,91.83
1785.6,1,4,train,fastest,41758.36,2053.46,28.0,4.3,45.08
1681.9,2,10,train,comfort,11494.05,3868.43,26.4,4.3,66.33
1694.9,2,2,train,budget,49433.41,3898.24,26.6,4.3,76.01
882.0,3,3,train,balanced,61907.28,3042.88,14.1,4.3,68.51
725.8,3,4,train,fastest,19303.79,2504.05,11.7,4.3,46.48
1948.2,2,3,train,balanced,47615.63,4480.83,30.5,4.3,67.53
1950.0,1,7,intercity_bus,balanced,66065.82,2827.45,39.5,4.1,68.21
2085.0,3,2,central_bus,fastest,62618.58,5942.14,52.6,3.5,41.09
2194.4,2,4,intercity_bus,comfort,65224.4,6363.7,44.4,4.1,66.07
1241.9,4,4,flight,fastest,70949.26,21857.11,5.0,4.7,93.72
1218.6,4,5,train,budget,75326.16,5605.53,19.2,4.3,76.71
1922.0,4,3,train,budget,35414.09,8841.01,30.1,4.3,69.61
1570.4,2,3,intercity_bus,fastest,47657.68,4554.2,31.9,4.1,44.2
1693.7,2,6,train,balanced,64299.46,3895.42,26.6,4.3,68.36
1916.0,4,3,train,budget,57285.49,8813.73,30.0,4.3,73.22
2139.3,2,6,intercity_bus,budget,79664.02,6204.01,43.3,4.1,77.72
831.0,1,4,car,fastest,6025.82,1828.31,14.4,4.5,45.63
920.1,4,5,flight,fastest,31634.99,16194.32,4.1,4.7,93.1
252.7,5,5,train,comfort,26077.09,1453.24,4.4,4.3,72.1
1400.5,2,3,taxi,fastest,24673.69,10643.98,23.8,4.8,45.73
115.2,1,4,flight,fastest,21689.73,506.81,1.8,4.7,98.78
1133.5,2,6,central_bus,budget,58184.29,2153.59,28.8,3.5,76.29
1316.1,4,4,taxi,budget,11356.96,20004.23,22.4,4.8,32.63
709.1,5,7,intercity_bus,budget,60620.66,5141.0,14.7,4.1,73.19
1430.3,1,4,train,balanced,57006.94,1644.82,22.5,4.3,68.21
102.3,1,2,intercity_bus,budget,23810.31,148.31,2.5,4.1,78.98
118.5,5,3,intercity_bus,budget,23962.53,859.24,2.9,4.1,77.37
1979.6,2,7,intercity_bus,fastest,52164.54,5740.73,40.1,4.1,42.86
883.7,2,3,central_bus,comfort,62162.83,1678.94,22.6,3.5,63.69
331.1,6,6,car,budget,70736.42,4370.96,6.0,4.5,74.54
1267.7,1,6,car,comfort,68910.47,2788.98,21.6,4.5,71.88
1854.9,3,3,taxi,budget,77366.22,21145.69,31.4,4.8,66.64
541.5,1,2,flight,budget,48603.87,2382.58,3.0,4.7,92.49
1506.3,2,5,car,comfort,73149.17,6627.5,25.6,4.5,74.17
232.3,4,3,train,fastest,65638.5,1068.46,4.1,4.3,45.54
152.5,2,5,train,budget,72100.07,350.72,2.8,4.3,79.19
1289.3,8,4,intercity_bus,comfort,5872.0,14956.0,26.3,4.1,55.33
1311.3,2,4,taxi,budget,77442.72,9965.92,22.4,4.8,75.56
1540.7,2,5,intercity_bus,balanced,40514.76,4468.06,31.3,4.1,64.06
1750.8,1,3,flight,balanced,64863.72,7703.68,6.5,4.7,93.97
2342.8,2,4,train,balanced,14540.31,5388.37,36.5,4.3,58.94
1253.6,2,3,train,balanced,34695.58,2883.35,19.8,4.3,72.06
795.4,1,3,flight,fastest,25359.55,3499.79,3.8,4.7,96.63
1914.6,2,4,train,balanced,26874.41,4403.56,30.0,4.3,65.52
671.9,2,6,intercity_bus,comfort,14244.17,1948.43,13.9,4.1,65.64
1070.4,3,3,train,budget,65432.29,3692.75,17.0,4.3,76.38
215.9,3,4,train,comfort,5693.17,745.0,3.8,4.3,68.64
90.1,3,5,flight,balanced,28437.91,1189.07,1.8,4.7,97.69
2311.5,1,3,intercity_bus,fastest,18080.79,3351.64,46.7,4.1,42.94
2011.3,1,3,central_bus,balanced,49177.92,1910.71,50.8,3.5,66.42
1679.5,3,7,train,balanced,24068.93,5794.13,26.3,4.3,65.32
999.2,2,5,flight,fastest,24424.88,8793.12,4.4,4.7,90.26
440.7,1,4,intercity_bus,fastest,41625.36,639.03,9.3,4.1,46.54
400.8,4,4,central_bus,fastest,53951.68,1522.87,10.5,3.5,41.66
623.1,4,2,flight,fastest,14097.85,10966.13,3.3,4.7,90.27
1331.7,2,4,train,fastest,18163.36,3062.83,21.0,4.3,44.81
1723.6,1,4,taxi,fastest,23538.11,6549.65,29.2,4.8,43.97
1594.7,4,4,central_bus,budget,78031.12,6059.74,40.4,3.5,74.14
693.4,2,3,intercity_bus,balanced,34786.44,2010.99,14.4,4.1,71.14
2293.0,4,2,train,balanced,49924.26,10547.94,35.8,4.3,65.58
1778.8,4,3,car,fastest,23115.71,15653.58,30.1,4.5,42.41
1343.8,4,7,flight,comfort,41784.46,23651.22,5.3,4.7,87.02
1479.8,2,4,train,fastest,10558.94,3403.49,23.3,4.3,43.62
1024.5,1,4,train,budget,7605.66,1178.12,16.3,4.3,71.4
617.1,3,2,flight,comfort,40155.01,8146.02,3.3,4.7,92.02
873.7,3,2,central_bus,budget,34899.45,2489.92,22.3,3.5,70.64
1826.1,3,5,flight,comfort,15266.02,24104.46,6.7,4.7,79.71
64.1,1,4,intercity_bus,comfort,56570.11,92.96,1.8,4.1,68.11
305.1,1,4,flight,fastest,79467.76,1342.41,2.4,4.7,96.97
139.0,5,3,intercity_bus,budget,34673.51,1007.94,3.3,4.1,77.8
126.5,3,5,train,comfort,51841.9,436.52,2.4,4.3,72.26
2057.4,5,3,central_bus,budget,77223.2,9772.85,51.9,3.5,70.94
1697.7,4,3,bike,fastest,67365.12,10865.08,31.4,3.8,42.54
1153.8,2,4,train,fastest,39766.42,2653.72,18.3,4.3,44.13
261.9,3,3,intercity_bus,fastest,60311.71,1139.12,5.7,4.1,43.72
1195.1,5,3,central_bus,fastest,14610.13,5676.87,30.4,3.5,36.51
1152.1,2,4,intercity_bus,balanced,43407.79,3341.17,23.5,4.1,67.59
440.5,3,5,taxi,comfort,25929.52,5021.57,7.8,4.8,74.44
1058.2,1,6,flight,balanced,17087.28,4656.2,4.5,4.7,88.97
974.5,2,4,train,fastest,36971.07,2241.25,15.5,4.3,48.27
1489.6,3,2,bike,comfort,14826.09,7149.91,27.6,3.8,59.19
1535.2,2,3,flight,comfort,57423.88,13509.51,5.9,4.7,91.49
137.4,1,10,taxi,budget,39218.0,522.01,2.8,4.8,79.24
917.8,2,4,central_bus,fastest,44835.85,1743.88,23.4,3.5,39.21
1513.3,1,5,taxi,balanced,15978.2,5750.49,25.7,4.8,61.44
1222.4,1,2,train,budget,15482.87,1405.8,19.3,4.3,75.51
2059.9,2,4,train,comfort,48756.16,4737.73,32.2,4.3,68.52
1591.1,5,2,taxi,balanced,78875.73,30230.97,27.0,4.8,57.89
416.2,2,4,train,fastest,12218.79,957.16,6.9,4.3,45.66
197.2,1,7,train,balanced,26429.86,226.84,3.5,4.3,71.24
1552.5,1,7,flight,balanced,70209.43,6831.15,5.9,4.7,95.3
92.8,3,4,taxi,balanced,10420.4,1058.28,2.0,4.8,68.47
1418.3,2,4,train,budget,70691.43,3262.06,22.3,4.3,74.63
2258.3,4,7,taxi,comfort,44321.45,34326.85,38.1,4.8,64.08
1393.9,3,5,central_bus,balanced,35620.01,3972.54,35.3,3.5,62.79
950.0,4,2,intercity_bus,comfort,28226.04,5509.78,19.5,4.1,65.71
1554.6,2,4,taxi,budget,27283.79,11814.91,26.4,4.8,58.44
1116.1,3,3,intercity_bus,fastest,27935.19,4854.86,22.8,4.1,43.36
1323.1,2,4,train,fastest,71360.23,3043.16,20.9,4.3,47.42
2261.3,6,4,train,balanced,59284.64,15602.77,35.3,4.3,62.22
